question,answers
Which strains  do  not have such deletions?,Yunnan strains such as the WIV1
What is the consequence of  lack of deletions in Yunnan strains?,can use human ACE2 as a cellular entry receptor. 
"Being closest to 2019-nCoV, which species do the two bat SARS-related coronavirus ZXC21 and ZC45 infect?","can infect suckling rats and cause inflammation in the brain tissue, and pathological changes in lung & intestine. "
What would lessen the likelihood of jumping the barrier?,The two retained deletion sites in the Spike genes of ZXC21 and ZC45
What do the results indicate?," that different orf3b proteins display different IFN antagonist activities and this function is independent of the protein's nuclear localization, suggesting a potential link between bat SARS-related-CoV orf3b function and pathogenesis."
What  is orf8?,an accessory protein found in the Betacoronavirus lineage B coronaviruses
"What orf8 length do Human SARS-CoVs isolated from early-phase patients, all civet SARS-CoVs, and other bat SARS-related CoVs contain?",fulllength orf8
From where have the original SARS-CON orf8 been acquired?,two bat SARS-related-CoV (Bat-CoV YNLF_31C and YNLF_34C) 
What does the orf8 derived from 2019-nCOV belong to?,the group that includes the closest genome sequences of bat SARS-related-CoV ZXC21 and ZC45. 
What is the  relation between the new2019-nCOV and the conserved orf8?,the new 2019-nCoV orf8 is distant from the conserved orf8 
orf8 was shown to do  what?,to trigger intracellular stress pathways and activates NLRP3 inflammasomes
What high possibility does the novel  orf8 have?,"to form a protein with an alpha-helix, following with a betasheet(s) containing six strands "
What is the summary of this report?,"2019-nCoV is a novel lineage B Betacoronavirus closely related to bat SARS-related coronaviruses. It also has unique genomic features which deserves further investigation to ascertain their roles in viral replication cycle and pathogenesis. More animal sampling to determine its natural animal reservoir and intermediate animal host in the market is important. This will shed light on the evolutionary history of this emerging coronavirus which has jumped into human after the other two zoonotic Betacoroanviruses, SARS-CoV and MERS-CoV."
Where can published genomic sequences be found for the 2019-nCoV virus?,Global Initiative on Sharing All Influenza Data (GISAID) (https://www.gisaid.org/)
What genes have been targeted for the diagnostic RT-PCR tests in 2019-nCoV?,E and RdRp genes
How does being a smoker impact COVID-19 patient outcomes?,"smokers were 1.4 times more likely (RR=1.4, 95% CI: 0.98–2.00) to have severe symptoms of COVID-19 and approximately 2.4 times more likely to be admitted to an ICU, need mechanical ventilation or die compared to non-smokers (RR=2.4, 95% CI: 1.43–4.04)"
Are smokers more likely to contract influenza?,"Previous studies have shown that smokers are twice more likely than non-smokers to contract influenza and have more severe symptoms, while smokers were also noted to have higher mortality in the previous MERS-CoV outbreak"
Why might we underestimate the spread of COVID19?,"limited information available regarding incubation time, transmissibility, and virus origin"
"Where was the first imported case of COVID19 in the United States?
",Washington
When was the first case of COVID19 confirmed in the USA?,"January 15, 2020"
When was the second COVID19 case reported in the US?,"January 24, 2020"
Where was the second reported case of COVID in the United States?,Chicago
When was the first local transmission of COVID reported in the United States?,"January 30, 2020"
When did the WHO declare COVID to be a Public Health Emergency of International Concern?,"January 30, 2020"
When did the United States declare COVID19 a public health emergency?,"January 31, 2020,"
What are the most common symptoms of COVID19?,Fever and cough 
What symptoms might people experience with COVID19?,patients with underlying medical conditions and the elderly
Who is at greater risk of dying from COVID19?,patients with underlying medical conditions and the elderly
How long is the incubation time for COVID19?,between 2 and 14 days
How does COVID19 get spread?,close contact with an infected person
Is it possible to get infected with COVID and another virus?,"Although the likelihood of coinfection of 2019-nCoV and another respiratory virus is thought to be low, a positive finding of another respiratory pathogen does not exclude the diagnosis of 2019-nCoV"
How many people  are estimated to need humanitarian assistance in 2020?,168 million people across 50 countries
For whom does the  SARS-COV-2 pose a great threat?,"those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response. "
What can undermine interventions?,"Poor governance, public distrust, and political violence "
Who are expected to be particularly susceptible?,Populations affected by humanitarian crises 
Why populations may be particularly susceptible?,"due to displacement, crowded housing, malnutrition, inadequate water, sanitation, and hygiene (WASH) tools, and stigmatization"
What is the impact of disease outbreaks?,"Disease outbreaks further reduce access to limited healthcare, which is increasingly disrupted by attacks on health facilities and the persistent overburdening of health systems. "
What represents a barrier to testing?," limited public health, laboratory, and primary care services "
Where are difficulties are exacerbated during humanitarian crises?,"Providing the limited healthcare worker cadre with appropriate training and personal protective equipment, and ensuring a continuous supply chain "
What can prevent contact tracing?, Frequent displacement and limited contact information 
What is an example of intractable structural challenge?,overcrowding limit the implementation of both quarantine of those exposed and isolation of those who are ill. 
